ope_id_00100200,school_alabama_agricultural_mechanical_university,state_al,zip_code_357621357,school_type_public,recipients_236,number_of_loans_originated_240,dollar_amount_of_loans_originated_843545,number_of_disbursements_529,dollar_amount_of_disbursements_970795,recipients_283,number_of_loans_originated_306,dollar_amount_of_loans_originated_966467,number_of_disbursements_671,dollar_amount_of_disbursements_1113771,recipients_55,number_of_loans_originated_56,dollar_amount_of_loans_originated_481420,number_of_disbursements_118,dollar_amount_of_disbursements_576247,recipients_172,number_of_loans_originated_178,dollar_amount_of_loans_originated_2122746,number_of_disbursements_375,dollar_amount_of_disbursements_2332380,recipients_42,number_of_loans_originated_43,dollar_amount_of_loans_originated_331579,number_of_disbursements_85,dollar_amount_of_disbursements_333079
656500,READING HOSPITAL SCHOOL OF HEALTH SCIENCES,PA,196111744,Private-Nonprofit,17,17,69500,23,46752,14,14,64000,19,46398,,,,,,,,,,,,,,,
657400,"ST. LUKE'S HOSPITAL OF BETHLEHEM, PA",PA,180151065,Private-Nonprofit,10,10,32173,22,26343,16,16,79861,36,71662,,,,,,,,,,,,,,,
657700,UPMC SHADYSIDE,PA,152321381,Private-Nonprofit,145,147,540174,198,367200,153,156,801085,214,574906,,,,,,1,1,16000,3,26579,,,,,
658200,WASHINGTON HOSPITAL (THE),PA,153013398,Private-Nonprofit,7,9,32592,13,22842,10,12,63408,16,40908,,,,,,1,1,9500,1,4750,,,,,
660600,BAPTIST HEALTH SYSTEM SCHOOL OF HEALTH PROFESSIONS,TX,782293234,Proprietary,189,189,628208,304,569608,186,186,879476,298,806518,,,,,,4,4,20434,5,25934,,,,,
661200,COVENANT SCHOOL OF NURSING AND ALLIED HEALTH,TX,794070120,Private-Nonprofit,22,22,47689,22,47689,24,24,73850,24,73850,,,,,,,,,,,,,,,
663900,BELLIN COLLEGE,WI,543110000,Private-Nonprofit,6,6,13207,98,167495,11,11,40772,114,202072,2,2,28679,52,368598,5,5,65497,16,142214,2,2,10250,39,243975
665600,COLLEGE OF DUPAGE,IL,601376599,Public,84,84,241544,99,246194,110,113,325025,144,362465,,,,,,2,2,18952,5,56542,,,,,
667700,MCGILL UNIVERSITY,,H3A   0G4,Foreign-Private,2,2,10000,4,10000,3,3,11500,6,11500,4,4,27085,22,113091,,,,,,4,4,31562,10,85383
667900,QUEEN'S UNIVERSITY AT KINGSTON,,K7L   3N6,Foreign-Private,,,,,,,,,,,0,0,0,7,40322,,,,,,,,,,
668100,ST. FRANCIS XAVIER UNIVERSITY,,B2G 2W5,Foreign-Private,1,1,3500,1,3500,,,,,,,,,,,1,1,15935,1,15935,,,,,
668300,UNIVERSITY OF GUELPH,,N1G 2W1,Foreign-Private,,,,,,,,,,,1,1,3000,3,16668,,,,,,0,0,0,1,10256
668400,UNIVERSITY OF MANITOBA,,R3T   2N2,Foreign-Private,,,,,,,,,,,,,,,,,,,,,1,1,7550,1,7550
668600,UNIVERSITY OF OTTAWA,,K1N   6N5,Foreign-Private,1,1,3500,1,3500,1,1,7500,1,7500,1,1,5000,3,11997,1,1,2500,1,2500,0,0,0,1,13112
668800,UNIVERSITY OF TORONTO,,M5S 1A1,Foreign-Private,1,1,1750,1,1750,1,1,1000,1,1000,0,0,0,15,84573,5,5,205266,6,228966,2,2,22823,7,72546
668900,UNIVERSITY OF WINDSOR,,N9B   3P4,Foreign-Private,1,1,3500,3,5333,1,1,2000,3,2666,0,0,0,2,9943,0,0,0,1,8112,0,0,0,2,3865
669200,UNIVERSITY OF LEEDS,,LS2 9JT,Foreign-Private,,,,,,,,,,,0,0,0,16,139920,,,,,,0,0,0,13,186294
669300,UNIVERSITY OF LONDON - LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,,WC2A 2AE,Foreign-Private,1,1,4500,5,7500,1,1,2000,6,5166,3,3,37000,166,1088647,0,0,0,1,17543,2,2,36500,120,1823058
669400,UNIVERSITY OF LONDON - SCHOOL OF ORIENTAL & AFRICAN STUDIES,,WC1H  0XG,Foreign-Private,0,0,0,5,5838,0,0,0,7,8338,2,2,30154,51,358186,,,,,,1,1,12302,47,676037
669500,UNIVERSITY OF LONDON - UNIVERSITY COLLEGE LONDON,,WC1E  6BT,Foreign-Private,1,1,4500,2,4500,1,1,2000,3,2300,1,1,20500,4,34365,1,1,69519,1,69519,3,3,81152,11,147451
669600,UNIVERSITY OF LONDON - SCHOOL OF ADVANCED STUDY,,WC1E 7HU,Foreign-Private,,,,,,,,,,,0,0,0,4,27336,,,,,,0,0,0,3,43194
669700,QUEEN MARY UNIVERSITY OF LONDON,,E1 4NS,Foreign-Private,,,,,,,,,,,3,3,45333,49,317539,,,,,,0,0,0,38,646979
